transaction_id,amount,timestamp,description
TXN-FD50D0703416,19209.49,2024-03-10T20:33:45+00:00,Settlement ACC0044
TXN-9AB5F15CF3C7,42075.23,2024-09-14T04:22:11+00:00,Payment from ACC0005
TXN-490598FD813D,7520.52,2024-03-02T02:40:36+00:00,ACH credit ACC0028
TXN-733E052BCDDA,36342.1,2024-09-02T19:14:31+00:00,Settlement ACC0017
TXN-F498FC566D8A,49382.72,2024-08-27T07:35:45+00:00,Settlement ACC0022
TXN-E025E5C5DD0E,10435.26,2024-03-10T04:09:08+00:00,Payment from ACC0079
TXN-9466C482C21B,20696.54,2024-11-17T08:06:22+00:00,Settlement ACC0030
TXN-491E3544F3A0,32397.59,2024-02-08T22:00:12+00:00,Wire transfer ACC0044
TXN-5C6FEB0EB02A,6118.28,2024-07-09T00:59:32+00:00,Settlement ACC0014
TXN-8BE4B2F12E09,21939.65,2024-11-27T06:00:55+00:00,Deposit ref ACC0027
TXN-901B686390FB,24825.81,2024-03-27T21:53:30+00:00,ACH credit ACC0013
TXN-D99E2A19747B,25590.15,2024-10-08T00:06:06+00:00,Payment from ACC0100
TXN-162826D00A04,44046.02,2024-08-31T19:55:46+00:00,Deposit ref ACC0024
TXN-D2A5233F4AD5,30973.67,2024-01-23T02:10:40+00:00,Deposit ref ACC0004
TXN-0F711CDE682D,44775.19,2024-11-26T17:21:30+00:00,ACH credit ACC0055
TXN-B2AC7036CA93,37346.02,2024-10-29T06:21:55+00:00,Wire transfer ACC0036
TXN-86E69CF93C57,32010.68,2024-04-22T10:28:38+00:00,Payment from ACC0091
TXN-AF9A21B88174,14169.59,2024-08-28T22:19:40+00:00,Payment from ACC0082
TXN-EB5A4A7097C2,40290.24,2024-08-26T14:44:48+00:00,Settlement ACC0076
TXN-75AE2B133C7E,11823.14,2024-01-31T08:32:45+00:00,Settlement ACC0027
TXN-34F957F436E4,26862.23,2024-02-03T01:26:23+00:00,ACH credit ACC0051
TXN-DEE0F419C88A,15246.12,2024-01-16T23:50:47+00:00,ACH credit ACC0007
TXN-D9C896603574,28788.76,2024-07-04T05:46:24+00:00,Payment from ACC0098
TXN-A481D4536A3B,49711.16,2024-09-13T18:35:21+00:00,Deposit ref ACC0032
TXN-58708A417216,22103.05,2024-04-30T04:45:55+00:00,Deposit ref ACC0083
TXN-712C19145078,6641.18,2024-01-26T04:05:57+00:00,Payment from ACC0042
TXN-4866003F109B,12586.8,2024-12-18T08:06:44+00:00,Wire transfer ACC0067
TXN-C42B648B6694,29293.35,2024-03-26T23:29:13+00:00,Deposit ref ACC0032
TXN-0269D5E70A27,32481.93,2024-03-12T10:47:06+00:00,Settlement ACC0092
TXN-7D3FEB3C52CC,14160.13,2024-06-30T01:46:09+00:00,Deposit ref ACC0100
TXN-C948D2D558C0,3319.99,2024-02-27T23:37:21+00:00,ACH credit ACC0046
TXN-CE8A2785976A,49957.03,2024-12-08T12:15:11+00:00,Wire transfer ACC0050
TXN-7A0DD8545E4C,8769.93,2024-07-26T18:25:24+00:00,Payment from ACC0032
TXN-4E25B38B76F3,12419.07,2024-09-15T03:23:45+00:00,ACH credit ACC0099
TXN-BEF081DB931B,8794.49,2024-10-23T09:48:24+00:00,ACH credit ACC0020
TXN-3E2D1FE00F73,19540.22,2024-03-10T10:38:49+00:00,ACH credit ACC0011
TXN-957393568CFF,32312.03,2024-10-31T09:33:37+00:00,Wire transfer ACC0038
TXN-017C1424E9DA,13903.87,2024-06-12T03:15:44+00:00,Deposit ref ACC0007
TXN-6A26DEB620BA,48969.08,2024-04-13T05:05:37+00:00,Deposit ref ACC0006
TXN-6415C0E76A62,7695.45,2024-02-12T02:43:53+00:00,Settlement ACC0010
TXN-6FE1BD5B1924,29650.93,2024-03-12T10:09:42+00:00,Wire transfer ACC0020
TXN-446521662CB1,25302.98,2024-05-12T12:30:18+00:00,Payment from ACC0009
TXN-0B22476BD28F,26351.44,2024-04-29T18:40:37+00:00,Payment from ACC0063
TXN-FB3DDB3AD94F,25885.29,2024-12-11T18:25:34+00:00,ACH credit ACC0003
TXN-E38DBDEBB5CE,7919.61,2024-07-18T10:10:12+00:00,Payment from ACC0069
TXN-1EB5F3F680FD,20043.54,2024-11-13T19:04:13+00:00,ACH credit ACC0084
TXN-F8B60BA92D44,33662.91,2024-07-08T07:46:15+00:00,Settlement ACC0042
TXN-78DDFB6CC910,14491.91,2024-09-05T04:40:09+00:00,Payment from ACC0005
TXN-44A50581A1B3,18613.39,2024-09-12T06:38:53+00:00,Deposit ref ACC0092
TXN-B8B664689B78,17671.04,2024-01-20T18:29:00+00:00,Settlement ACC0066
TXN-A108CBA25304,16606.42,2024-02-08T23:27:57+00:00,Settlement ACC0076
TXN-9E62223A4E06,9829.63,2024-10-11T21:07:52+00:00,Payment from ACC0069
TXN-02F3F4E833D6,5667.07,2024-06-15T00:09:07+00:00,ACH credit ACC0009
TXN-FB3C3F987F3E,29952.95,2024-04-21T16:53:03+00:00,Settlement ACC0031
TXN-F8B1CEA635D6,30936.06,2024-07-31T00:32:40+00:00,Payment from ACC0052
TXN-3FE16968B677,7425.23,2024-07-05T00:40:04+00:00,Payment from ACC0048
TXN-478522252AF7,30453.66,2024-09-12T11:25:53+00:00,ACH credit ACC0004
TXN-63352143E982,39546.91,2024-05-18T22:25:14+00:00,Wire transfer ACC0055
TXN-CEE6771DABBF,36250.96,2024-05-02T12:41:58+00:00,Deposit ref ACC0073
TXN-A35EE868A7A5,10846.95,2024-06-06T06:49:20+00:00,ACH credit ACC0064
TXN-5C1D3BE8CCA1,43384.42,2024-08-20T12:06:05+00:00,Deposit ref ACC0036
TXN-FC622B625D76,22706.56,2024-02-29T19:22:26+00:00,Deposit ref ACC0091
TXN-161E08544166,40914.59,2024-11-27T03:55:42+00:00,Payment from ACC0095
TXN-320D33F9491B,40537.86,2024-10-03T05:51:31+00:00,Payment from ACC0034
TXN-AD7EC3487CA7,5476.1,2024-03-29T19:07:35+00:00,Payment from ACC0062
TXN-04F6089D069D,46207.34,2024-06-17T05:18:36+00:00,Settlement ACC0022
TXN-4A8599EEEB2B,11507.24,2024-07-18T19:52:20+00:00,ACH credit ACC0022
TXN-A93ACD6DFD69,4632.28,2024-10-08T09:37:08+00:00,Wire transfer ACC0048
TXN-3A9A84BEAA4D,41709.52,2024-05-25T16:18:55+00:00,Payment from ACC0016
TXN-415A2DC993D3,41263.35,2024-07-29T11:29:50+00:00,Payment from ACC0039
TXN-6F1B106846B1,473.27,2024-08-08T13:47:17+00:00,Deposit ref ACC0005
TXN-057D537A0771,17770.62,2024-10-16T00:32:21+00:00,ACH credit ACC0029
TXN-C5DDF2B1F043,17724.84,2024-06-05T05:52:15+00:00,Deposit ref ACC0055
TXN-BB832C1821AC,21309.53,2024-01-24T19:49:15+00:00,Deposit ref ACC0044
TXN-E25AE6041CBA,44569.34,2024-01-29T13:20:47+00:00,Settlement ACC0049
TXN-190A9C484547,36676.48,2024-07-14T19:38:12+00:00,Payment from ACC0061
TXN-0CFF13152AA5,36675.13,2024-06-21T09:22:53+00:00,Settlement ACC0059
TXN-64625932897E,22338.19,2024-11-09T17:37:15+00:00,Wire transfer ACC0085
TXN-2C6A700A6779,18997.68,2024-03-26T00:01:34+00:00,Settlement ACC0001
TXN-17000C113ADA,30172.16,2024-01-11T10:09:10+00:00,Wire transfer ACC0089
TXN-4BB5C20CEFC4,3910.06,2024-07-11T02:03:35+00:00,Payment from ACC0089
TXN-E5BF9C5BFD86,16434.69,2024-02-27T07:18:16+00:00,Deposit ref ACC0030
TXN-B81E66C50850,5879.61,2024-12-21T18:57:14+00:00,ACH credit ACC0089
TXN-2A15B9048086,4261.12,2024-08-09T09:55:45+00:00,Deposit ref ACC0035
TXN-E999C9B2DF73,143.76,2024-06-23T22:59:55+00:00,Deposit ref ACC0021
TXN-12165CF05A0A,15786.64,2024-04-30T10:07:00+00:00,Deposit ref ACC0006
TXN-1249340457F5,40766.02,2024-10-05T22:56:19+00:00,Payment from ACC0054
TXN-D16C48B27812,11073.29,2024-12-06T01:23:18+00:00,Wire transfer ACC0053
TXN-EE9D9238170F,31956.73,2024-07-12T21:48:50+00:00,Deposit ref ACC0021
TXN-CC7E37EFC822,12248.81,2024-01-28T16:01:54+00:00,ACH credit ACC0074
TXN-D647A5AA260B,4011.19,2024-01-15T15:54:18+00:00,Settlement ACC0048
TXN-8EECD564238E,3165.62,2024-06-22T15:04:15+00:00,ACH credit ACC0061
TXN-2A97A9375023,14937.65,2024-05-31T10:56:20+00:00,Settlement ACC0046
TXN-BF5DE2BA3048,31070.57,2024-04-02T15:24:00+00:00,Wire transfer ACC0003
TXN-57173068B386,2905.68,2024-12-06T23:38:33+00:00,Deposit ref ACC0031
TXN-214E2706D77C,2559.14,2024-06-15T02:31:15+00:00,Settlement ACC0035
TXN-052E6E26A728,36270.28,2024-10-22T12:55:20+00:00,Wire transfer ACC0039
TXN-6D53DA6F90CB,7709.66,2024-04-26T13:46:53+00:00,Settlement ACC0001
TXN-ACEDFAF44948,7468.39,2024-08-06T14:02:42+00:00,ACH credit ACC0020
TXN-AF0B60358EDD,39406.64,2024-05-08T16:05:58+00:00,ACH credit ACC0054
TXN-E658AE0B4584,36450.56,2024-02-02T14:38:42+00:00,Wire transfer ACC0019
TXN-D66DF50DBE97,33307.32,2024-09-12T13:29:33+00:00,Wire transfer ACC0040
TXN-56F444207181,36009.31,2024-11-27T00:54:29+00:00,Wire transfer ACC0096
TXN-5929A3C86B0C,8197.88,2024-10-09T17:27:28+00:00,Settlement ACC0037
TXN-ED6FBCC44D01,23579.75,2024-11-29T21:53:01+00:00,Settlement ACC0063
TXN-61518F848212,37591.32,2024-11-22T04:05:22+00:00,ACH credit ACC0034
TXN-0A6F1E0A107F,19148.89,2024-08-08T07:06:11+00:00,Payment from ACC0047
TXN-6ED806B72FF6,4852.21,2024-03-20T08:09:17+00:00,Payment from ACC0067
TXN-1128B5C795A1,7091.95,2024-11-28T11:17:31+00:00,Wire transfer ACC0025
TXN-F54C82ECF717,5013.68,2024-07-14T14:49:42+00:00,Deposit ref ACC0043
TXN-B27F049BE8D8,32870.66,2024-01-28T00:34:59+00:00,Wire transfer ACC0073
TXN-00C94AC4A07A,40347.98,2024-08-23T16:17:48+00:00,ACH credit ACC0011
TXN-D0D4D972C3A2,7629.57,2024-10-10T18:13:36+00:00,Wire transfer ACC0076
TXN-B76DB7CF4429,34290.14,2024-01-04T14:43:28+00:00,ACH credit ACC0089
TXN-3E55615BAFD2,35067.83,2024-02-20T16:41:59+00:00,Payment from ACC0032
TXN-BDD6780CD7D8,34238.83,2024-11-24T10:12:02+00:00,ACH credit ACC0020
TXN-622FE0DC21E8,49622.53,2024-06-17T09:41:52+00:00,Settlement ACC0041
TXN-BFE60886BDA5,41836.02,2024-07-13T02:44:45+00:00,Deposit ref ACC0015
TXN-7B832DBCE423,12191.08,2024-02-19T15:58:32+00:00,Deposit ref ACC0003
TXN-59C8E9B38176,43990.83,2024-06-17T16:00:37+00:00,Settlement ACC0045
TXN-2E68ED8705A3,27693.66,2024-07-28T11:30:05+00:00,Deposit ref ACC0085
TXN-A4D1197A5BB8,33485.41,2024-09-27T17:40:24+00:00,Settlement ACC0004
TXN-9181C2467778,10375.01,2024-05-06T05:40:52+00:00,Settlement ACC0067
TXN-31DFAB248009,48033.5,2024-09-09T02:47:55+00:00,ACH credit ACC0082
TXN-2D0EA10D1BF1,44822.48,2024-02-24T04:51:54+00:00,Deposit ref ACC0094
TXN-FCBD95D81D5D,40142.81,2024-06-22T00:53:28+00:00,Settlement ACC0066
TXN-C5EF357209A3,32670.29,2024-11-20T11:08:10+00:00,Payment from ACC0076
TXN-80399EF04DC0,40690.83,2024-01-07T06:54:48+00:00,ACH credit ACC0048
TXN-843D1B7D7B84,10569.5,2024-06-18T02:13:40+00:00,Payment from ACC0006
TXN-1AA17D78C131,19653.8,2024-08-27T10:12:03+00:00,ACH credit ACC0021
TXN-90078477853C,49695.33,2024-01-07T15:53:34+00:00,ACH credit ACC0027
TXN-93B95562D2CF,6379.83,2024-02-07T05:45:55+00:00,Settlement ACC0035
TXN-2498A7CC115C,40701.63,2024-10-22T18:39:00+00:00,Deposit ref ACC0027
TXN-7636CB211BCD,10219.96,2024-04-24T23:53:00+00:00,Payment from ACC0034
TXN-E851FA298260,4012.35,2024-10-10T13:49:18+00:00,Deposit ref ACC0089
TXN-F1ADECB973B7,49635.01,2024-06-25T00:04:13+00:00,Deposit ref ACC0058
TXN-D098CF37AF79,22134.51,2024-10-26T02:20:08+00:00,Payment from ACC0004
TXN-7F8E71934E83,24323.4,2024-05-12T04:03:05+00:00,ACH credit ACC0029
TXN-4BF91D56C162,14874.45,2024-05-12T11:26:34+00:00,Payment from ACC0030
TXN-1C251BEF920A,23627.85,2024-10-15T01:00:56+00:00,Payment from ACC0032
TXN-D754A7B0DE40,29533.89,2024-03-30T06:01:11+00:00,Settlement ACC0077
TXN-BC45BD0C6335,26471.38,2024-07-03T21:03:09+00:00,Wire transfer ACC0081
TXN-1B7864A9D1A1,9941.2,2024-06-09T23:23:12+00:00,ACH credit ACC0037
TXN-A39719EBE3FF,48895.71,2024-09-28T05:01:07+00:00,Settlement ACC0005
TXN-D5C4EA572031,44175.18,2024-02-17T10:48:14+00:00,Settlement ACC0041
TXN-3D2F5BD7C734,3377.46,2024-02-08T03:18:45+00:00,Wire transfer ACC0086
TXN-AEE8611EAC3D,12613.04,2024-06-17T06:35:13+00:00,Settlement ACC0007
TXN-9E467FDF55B4,18036.0,2024-06-16T00:41:32+00:00,ACH credit ACC0096
TXN-81AF9098D1B3,8260.59,2024-06-30T12:23:30+00:00,Wire transfer ACC0093
TXN-B42E3251AFA4,16139.81,2024-10-02T11:27:16+00:00,Wire transfer ACC0021
TXN-034E68318205,1382.25,2024-01-20T06:46:52+00:00,Wire transfer ACC0037
TXN-5295F05B283B,45361.81,2024-08-07T19:38:29+00:00,Wire transfer ACC0042
TXN-91102BF24BBC,47374.68,2024-07-20T12:28:40+00:00,ACH credit ACC0045
TXN-27A007174490,24852.62,2024-11-25T01:43:34+00:00,Payment from ACC0026
TXN-55DFD7046AD6,31815.99,2024-05-18T06:00:51+00:00,Payment from ACC0054
TXN-DAEB9849EB77,8737.32,2024-02-13T17:23:05+00:00,Payment from ACC0061
TXN-A024811E7E5C,35366.07,2024-12-07T09:28:31+00:00,ACH credit ACC0023
TXN-9A95BA2052CE,36189.45,2024-09-11T23:37:14+00:00,Deposit ref ACC0033
TXN-3B224A28F099,37303.32,2024-10-10T18:52:17+00:00,ACH credit ACC0090
TXN-523168AB70A9,11947.81,2024-04-29T02:03:20+00:00,ACH credit ACC0084
TXN-193907409352,46085.65,2024-02-16T02:58:47+00:00,Deposit ref ACC0048
TXN-24EF1E979E6C,10678.59,2024-09-13T19:39:22+00:00,Deposit ref ACC0075
TXN-0097BCC64B3E,6115.85,2024-07-05T21:23:05+00:00,ACH credit ACC0067
TXN-43890C57E178,46236.71,2024-09-07T16:09:42+00:00,Settlement ACC0043
TXN-3E62D349728C,44934.96,2024-06-21T20:44:13+00:00,Payment from ACC0023
TXN-C01838B25B7D,3555.49,2024-04-27T07:56:42+00:00,Deposit ref ACC0084
TXN-166629FF3A86,24101.63,2024-06-14T10:10:38+00:00,Unrecognised credit TXN-1666
TXN-C34F3F449E74,10616.64,2024-03-25T10:54:21+00:00,Payment from ACC0078
TXN-34DD04E02345,43582.07,2024-02-11T07:04:24+00:00,Settlement ACC0034
TXN-0C7C25575AF4,33410.5,2024-07-28T17:17:21+00:00,Settlement ACC0077
TXN-36D9DC48138F,32237.15,2024-06-08T21:14:42+00:00,Deposit ref ACC0067
TXN-F1342C256575,24825.68,2024-05-14T15:31:33+00:00,Deposit ref ACC0021
TXN-D8ABDF9425B5,46652.17,2024-12-22T04:06:16+00:00,Wire transfer ACC0084
TXN-3E4A585059C9,34101.04,2024-10-05T06:51:41+00:00,Deposit ref ACC0086
TXN-2F3293C64A51,31278.5,2024-09-22T18:43:33+00:00,Payment from ACC0073
TXN-CBB96F6025C4,3899.66,2024-09-16T09:51:41+00:00,Deposit ref ACC0026
TXN-BC7517787371,6552.61,2024-09-07T16:30:12+00:00,ACH credit ACC0051
TXN-8D3D3FB9576C,22227.05,2024-07-13T23:39:21+00:00,Wire transfer ACC0065
TXN-553C97814314,17669.74,2024-04-16T11:11:11+00:00,Wire transfer ACC0041
TXN-5B3A7BEEA941,17267.88,2024-07-07T19:57:47+00:00,Deposit ref ACC0048
TXN-419C2E56D3CC,3267.24,2024-09-20T07:35:51+00:00,Settlement ACC0028
TXN-79439648ABFA,7147.55,2024-08-23T22:59:23+00:00,Settlement ACC0004
TXN-B7C01ED08DE6,18974.69,2024-03-07T04:46:59+00:00,Payment from ACC0061
TXN-CC33109E4B06,20131.4,2024-04-15T17:31:06+00:00,Deposit ref ACC0090
TXN-AE3ABAC9EF6A,8068.9,2024-08-06T10:50:40+00:00,ACH credit ACC0084
TXN-9F93D4AE76B6,43671.34,2024-11-01T07:16:40+00:00,Payment from ACC0081
TXN-ABA2E0F3BFC6,27298.51,2024-02-15T18:09:13+00:00,ACH credit ACC0034
