transaction_id,account_id,amount,currency,timestamp,description,status
TXN-A5C2DC5DE143,ACC0093,16225.9,USD,2024-08-08T10:21:19+00:00,Deposit ref ACC0093,settled
TXN-CC33109E4B06,ACC0090,20131.4,USD,2024-04-15T17:31:06+00:00,Deposit ref ACC0090,settled
TXN-F06827D592E2,ACC0059,14245.29,USD,2024-08-15T18:23:34+00:00,Wire transfer ACC0059,settled
TXN-3948E49E3DD3,ACC0045,35407.1,USD,2024-09-10T04:22:37+00:00,ACH credit ACC0045,settled
TXN-DA5DF60BB680,ACC0062,7734.12,USD,2024-01-22T16:47:50+00:00,Deposit ref ACC0062,settled
TXN-C069F2B968F3,ACC0078,22778.98,USD,2024-09-21T11:59:59+00:00,Wire transfer ACC0078,settled
TXN-C9B40317A66A,ACC0013,11863.55,USD,2024-06-09T05:40:06+00:00,Wire transfer ACC0013,settled
TXN-FBBCA5B38362,ACC0024,33974.87,USD,2024-02-28T08:09:07+00:00,ACH credit ACC0024,settled
TXN-10C2E9D2F861,ACC0073,22959.37,USD,2024-05-12T14:04:24+00:00,Wire transfer ACC0073,settled
TXN-0CFBC48FE613,ACC0068,7880.06,USD,2024-07-16T05:18:16+00:00,Payment from ACC0068,settled
TXN-D192F7764988,ACC0060,38594.03,USD,2024-12-05T12:07:32+00:00,Settlement ACC0060,settled
TXN-047EFBFABC66,ACC0067,15657.39,USD,2024-12-12T16:18:15+00:00,Wire transfer ACC0067,settled
TXN-46268FBD4C04,ACC0057,7597.41,USD,2024-11-27T19:10:29+00:00,Settlement ACC0057,settled
TXN-6675461CA273,ACC0081,34223.13,USD,2024-04-21T14:33:59+00:00,Wire transfer ACC0081,settled
TXN-99E3A15C83E5,ACC0072,22428.93,USD,2024-09-09T13:01:34+00:00,Payment from ACC0072,settled
TXN-A843A8AF7ED8,ACC0045,22362.01,USD,2024-10-09T06:24:04+00:00,ACH credit ACC0045,settled
TXN-3E2D1FE00F73,ACC0011,19540.22,USD,2024-03-10T10:38:49+00:00,ACH credit ACC0011,settled
TXN-313E2A750BF6,ACC0089,18420.73,USD,2024-07-30T01:38:38+00:00,Payment from ACC0089,settled
TXN-6787FCFA37C8,ACC0098,2590.07,USD,2024-04-13T17:08:40+00:00,Deposit ref ACC0098,settled
TXN-2BA17C169073,ACC0054,3846.46,USD,2024-04-09T02:08:43+00:00,Payment from ACC0054,settled
TXN-DBA3E0AC5E45,ACC0085,23769.37,USD,2024-08-01T12:32:27+00:00,Wire transfer ACC0085,settled
TXN-0B41A6CBB98F,ACC0044,49147.7,USD,2024-11-08T18:45:22+00:00,Deposit ref ACC0044,settled
TXN-68D2FD2A2AF7,ACC0026,41365.6,USD,2024-03-17T18:10:54+00:00,Wire transfer ACC0026,settled
TXN-FDF04E0A0C79,ACC0025,35235.96,USD,2024-12-25T10:17:28+00:00,Payment from ACC0025,settled
TXN-D11D783DF0A2,ACC0063,23073.24,USD,2024-02-02T01:24:32+00:00,Deposit ref ACC0063,settled
TXN-17FCBA1C11EE,ACC0020,37055.16,USD,2024-03-31T11:35:01+00:00,Payment from ACC0020,settled
TXN-0D6C4552D141,ACC0060,38474.23,USD,2024-10-29T04:38:30+00:00,Settlement ACC0060,settled
TXN-D679FBB26A9C,ACC0076,18816.69,USD,2024-03-26T12:30:06+00:00,Wire transfer ACC0076,settled
TXN-1633079A3749,ACC0043,18046.28,USD,2024-03-25T20:03:27+00:00,Deposit ref ACC0043,settled
TXN-39339DD77C08,ACC0006,34130.74,USD,2024-05-04T15:20:59+00:00,Settlement ACC0006,settled
TXN-A37547AAC9D0,ACC0079,11643.75,USD,2024-04-22T19:32:41+00:00,Wire transfer ACC0079,settled
TXN-8C5C79202B6A,ACC0054,16437.67,USD,2024-02-10T17:15:11+00:00,Settlement ACC0054,settled
TXN-A0B5A5DF3FED,ACC0051,12730.32,USD,2024-01-02T04:06:22+00:00,Wire transfer ACC0051,settled
TXN-2C77920306FC,ACC0095,12046.13,USD,2024-01-03T17:05:12+00:00,ACH credit ACC0095,settled
TXN-6032300BFA4A,ACC0044,29705.59,USD,2024-08-26T07:35:00+00:00,Settlement ACC0044,settled
TXN-987B6E971672,ACC0071,6497.26,USD,2024-12-09T09:46:27+00:00,Payment from ACC0071,settled
TXN-DDA124B98E0F,ACC0082,45416.04,USD,2024-11-10T00:13:24+00:00,Wire transfer ACC0082,settled
TXN-19C642CF5D81,ACC0073,28172.6,USD,2024-11-29T17:48:10+00:00,Payment from ACC0073,settled
TXN-E8E387106BE1,ACC0058,39014.36,USD,2024-04-02T04:58:03+00:00,Settlement ACC0058,settled
TXN-927FEA1BF270,ACC0027,46153.38,USD,2024-08-26T02:40:01+00:00,Deposit ref ACC0027,settled
TXN-A61C631B4EED,ACC0059,13598.94,USD,2024-05-29T19:07:44+00:00,Settlement ACC0059,settled
TXN-1AFEC41616B9,ACC0049,13911.55,USD,2024-12-15T22:38:06+00:00,Wire transfer ACC0049,settled
TXN-05F6AF91EDA2,ACC0027,22995.37,USD,2024-08-20T19:52:20+00:00,ACH credit ACC0027,settled
